Symbol,Name,Last,Change,%Chg,"IV Rank","Options Vol","% Put","% Call","P/C Vol",Time
ETSY,"Etsy Inc",64.5,-0.15,-0.23%,47.73%,17984,68.5%,31.5%,2.1762628046627,"09:04 ET"
DG,"Dollar General Corp",103,-0.78,-0.75%,61.86%,17939,28.9%,71.1%,0.40587774294671,"09:05 ET"
SLB,"Schlumberger N.V.",57.6,-0.34,-0.59%,37.11%,17874,69.5%,30.5%,2.2790313703908,"09:05 ET"
NLY,"Annaly Capital Management Inc",18.22,-0.1,-0.54%,15.52%,17630,22.5%,77.5%,0.28949678174371,"09:09 ET"
AVGO,"Broadcom Ltd",834,-0.95,-0.11%,27.40%,17439,57.3%,42.7%,1.3439516129032,"09:09 ET"
IBM,"International Business Machines",140.3,-0.5,-0.36%,45.07%,17230,25.5%,74.5%,0.34190031152648,"09:09 ET"
PAAS,"Pan Amer Silver Corp",13.93,0.23,+1.68%,50.06%,17212,65.8%,34.2%,1.9257181710012,"09:09 ET"
ATVI,"Activision Blizzard",93.85,-0.09,-0.10%,7.34%,17190,65.9%,34.1%,1.9319461026778,"09:07 ET"
UPS,"United Parcel Service",155,-0.08,-0.05%,44.18%,17062,76.5%,23.5%,3.2623032725456,"09:09 ET"
M,"Macy's Inc",11.43,-0.12,-1.04%,20.75%,16985,34.2%,65.8%,0.51963854343742,"09:07 ET"
VST,"Vistra Energy Corp",32.53,0,0.00%,39.42%,16947,34.5%,65.5%,0.52648171500631,"09:00 ET"
HD,"Home Depot",297.91,-1.92,-0.64%,21.52%,16555,52.8%,47.2%,1.1170076726343,"09:08 ET"
MRO,"Marathon Oil Corp",25.4,-0.19,-0.74%,31.05%,16289,40.3%,59.7%,0.67582304526749,"09:09 ET"
PEP,"Pepsico Inc",169,-0.17,-0.10%,46.09%,16122,58.6%,41.4%,1.4160047954443,"09:09 ET"
UNH,"Unitedhealth Group Inc",514.99,0.42,+0.08%,41.43%,15980,49.5%,50.5%,0.97870232788509,"09:07 ET"
SDC,"Smiledirectclub Inc",0.1339,-0.0272,-16.88%,33.13%,15878,15.7%,84.3%,0.18678526048285,"09:09 ET"
PENN,"Penn Entertainment Inc",22.35,-0.19,-0.84%,45.60%,15871,21.7%,78.3%,0.2770357257805,"09:09 ET"
V,"Visa Inc",230.58,-0.69,-0.30%,33.46%,15791,52.9%,47.1%,1.1224462365591,"09:09 ET"
DLTR,"Dollar Tree Inc",103.92,-0.74,-0.71%,24.47%,15763,82.0%,18.0%,4.5483984512496,"09:09 ET"
BRK.B,"Berkshire Hathaway Cl B",346.5,-1.58,-0.45%,24.12%,15696,33.5%,66.5%,0.50474547023296,"09:09 ET"
FUBO,"Fubotv Inc",2.57,-0.06,-2.28%,10.51%,15677,19.9%,80.1%,0.24876533375816,"09:09 ET"
DELL,"Dell Technologies Inc",67.7,0,0.00%,39.37%,15299,29.1%,70.9%,0.40991613676159,"09:04 ET"
EXPI,"Exp Realty International",15.7,-0.54,-3.33%,22.59%,15264,99.4%,0.6%,166.73626373626,2023-10-02
DDOG,"Datadog Inc Cl A",90.55,-1.29,-1.40%,34.65%,15161,57.4%,42.6%,1.3479944246554,"09:08 ET"
EBAY,"Ebay Inc",43.25,-0.3,-0.69%,46.50%,15122,58.2%,41.8%,1.3949952486538,"09:08 ET"
U,"Unity Software Inc",30.16,-0.38,-1.24%,20.44%,15077,40.8%,59.2%,0.68892125014002,"09:08 ET"
AA,"Alcoa Corp",28.34,-0.5,-1.73%,41.05%,14763,53.3%,46.7%,1.1414273281114,"09:08 ET"
LULU,"Lululemon Athletica",380,-2.86,-0.75%,24.06%,14753,39.9%,60.1%,0.66380963121687,"09:07 ET"
EBIX,"Ebix Inc",8.55,-0.17,-1.95%,55.41%,14619,80.7%,19.3%,4.1803685329554,"08:51 ET"
INFY,"Infosys Ltd ADR",17.18,0.07,+0.41%,57.11%,14269,64.7%,35.3%,1.8300277667592,2023-10-02
GE,"General Electric Company",108,-0.79,-0.73%,44.17%,14145,54.1%,45.9%,1.178499922994,"08:58 ET"
USB,"U.S. Bancorp",31.77,-0.37,-1.15%,29.00%,14064,51.0%,49.0%,1.0388518411134,"09:08 ET"
HAL,"Halliburton Company",39.6,-0.17,-0.43%,34.64%,13921,55.0%,45.0%,1.2230916640051,"09:07 ET"
BUD,"Anheuser-Busch Inbev S.A. ADR",53.01,-0.41,-0.77%,40.97%,13855,63.8%,36.2%,1.7616105242177,"09:09 ET"
BCRX,"Biocryst Pharma Inc",6.77,-0.31,-4.38%,40.30%,13684,95.1%,4.9%,19.393442622951,2023-10-02
CAT,"Caterpillar Inc",270,-1.72,-0.63%,56.02%,13623,63.6%,36.4%,1.7476805163372,"09:08 ET"
CVS,"CVS Corp",69.5,-0.19,-0.27%,63.75%,13621,43.6%,56.4%,0.77195264732666,"09:04 ET"
REPL,"Replimune Group Inc",15.79,-1.32,-7.71%,100.00%,13482,83.2%,16.8%,4.9628482972136,2023-10-02
GEO,"Geo Group Inc",8.47,-0.13,-1.51%,56.59%,13452,17.4%,82.6%,0.21123716909778,"09:09 ET"
LYFT,"Lyft Inc Cl A",10.36,-0.15,-1.43%,22.45%,13423,13.0%,87.0%,0.15001713502399,"09:07 ET"
FDX,"Fedex Corp",265.23,0.12,+0.04%,13.39%,13412,55.0%,45.0%,1.2227378190255,"09:06 ET"
AG,"First Majestic Silver",4.96,0.01,+0.20%,30.61%,13401,14.0%,86.0%,0.16287747309962,"09:06 ET"
FTCH,"Farfetch Ltd Cl A",1.99,-0.07,-3.40%,17.33%,13310,1.6%,98.4%,0.016263266396885,"09:09 ET"
RKT,"Rocket Companies Inc Cl A",7.9,-0.09,-1.13%,25.27%,13252,12.6%,87.4%,0.14369552084232,"09:01 ET"
BP,"BP Plc ADR",37.36,-0.46,-1.22%,35.88%,13234,46.4%,53.6%,0.8668359430103,"09:09 ET"
HOOD,"Robinhood Markets Inc Cl A",9.62,-0.11,-1.13%,22.88%,13163,24.9%,75.1%,0.3324223099504,"09:09 ET"
Z,"Zillow Group Cl C",45.64,-0.52,-1.13%,26.29%,13144,91.8%,8.2%,11.226976744186,2023-10-02
DASH,"Doordash Inc Cl A",78.75,-0.69,-0.87%,25.80%,13069,24.5%,75.5%,0.32438184029185,"09:09 ET"
TAL,"Tal Education Group ADR",8.77,-0.35,-3.84%,21.71%,13061,13.8%,86.2%,0.16015278024516,"09:09 ET"
CPRI,"Capri Holdings Ltd",52.11,-0.33,-0.63%,18.32%,13043,41.9%,58.1%,0.72071240105541,"09:06 ET"
MVIS,Microvision,2.1,0,0.00%,14.19%,12995,46.0%,54.0%,0.85298730928276,"09:06 ET"
DFS,"Discover Financial Services",90,-0.83,-0.91%,56.69%,12887,37.1%,62.9%,0.58981001727116,"09:07 ET"
ABT,"Abbott Laboratories",94.95,-0.78,-0.82%,68.05%,12799,38.7%,61.3%,0.63169301376849,"09:03 ET"
ABBV,"Abbvie Inc",148.25,-0.81,-0.54%,53.92%,12773,34.4%,65.6%,0.52495224450812,2023-10-02
ALB,"Albemarle Corp",160.63,-1.78,-1.10%,40.89%,12757,47.9%,52.1%,0.91805743497218,"09:09 ET"
BILI,"Bilibili Inc ADR",13.22,-0.41,-3.01%,7.30%,12728,32.5%,67.5%,0.4824132308409,"09:05 ET"
EXPE,"Expedia Group Inc",102.05,-1.02,-0.99%,38.60%,12614,66.7%,33.3%,2.0011896264573,2023-10-02
AXP,"American Express Company",148.47,-1.01,-0.68%,30.75%,12596,44.1%,55.9%,0.78869639307015,"09:05 ET"
